のります	lên, đi phương tiện
おります	xuống phương tiện
のりかえます	chuyển, đổi tuyến xe
あびます	tắm, dội
いれます	cho vào, bỏ vào
だします	lấy ra, nộp, gửi
はいります	vào
でます	ra, tốt nghiệp
やめます	nghỉ, bỏ
おします	bấm, nhấn

---

わかい	trẻ
ながい	dài
みじかい	ngắn
あかるい	sáng
くらい	tối
せが たかい	cao
あたまが いい	thông minh
からだ	cơ thể
あたま	đầu
かみ	tóc

---

かお	mặt
め	mắt
みみ	tai
くち	miệng
は	răng
おなか	bụng
あし	chân
サービス	dịch vụ
ジョギング	chạy bộ
シャワー	vòi sen, tắm vòi sen

---

みどり	màu xanh lá, cây xanh
おてら	chùa
じんじゃ	đền thần đạo
りゅうがくせい	du học sinh
ばん	số, lượt
どうやって	bằng cách nào
どの	cái nào
どれ	cái nào
まず	trước tiên
つぎに	tiếp theo

---

それから	sau đó
さいごに	cuối cùng
すごいですね	tuyệt quá, ghê quá
いいえ、まだまだです	không, tôi còn kém lắm
おひきだしですか	anh chị rút tiền phải không
まず キャッシュカードを いれてください	đầu tiên hãy cho thẻ vào
あんしょうばんごう	mã PIN
きんがく	số tiền
かくにん	xác nhận
ボタン	nút bấm
