たちます	đứng
すわります	ngồi
つかいます	dùng / sử dụng
おきます	đặt / để
つくります	làm / chế tạo
うります	bán
けんきゅうします	nghiên cứu
おもいだします	nhớ ra
いらっしゃいます	có / ở / đi / đến

---

しります	biết
しっています	biết
しりません	không biết
すみます	sống / cư trú
すんでいます	đang sống
おおさかに すんでいます	sống ở Osaka

---

しりょう	tài liệu
カタログ	catalogue
じこくひょう	bảng giờ tàu/xe
ふく	quần áo
せいひん	sản phẩm
ソフト	phần mềm
でんしじしょ	từ điển điện tử

---

せんもん	chuyên môn
はいしゃ	nha sĩ
かいしゃいん	nhân viên công ty
ごかぞく	gia đình của người khác
どくしん	độc thân
とこや	tiệm cắt tóc
プレイガイド	quầy bán vé
こうこう	trường cấp 3
にほんばし	Nihonbashi

---

とくに	đặc biệt là
もう	đã / nữa
まだ	chưa
ここで	ở đây
たばこを すいます	hút thuốc
すってもいいです	hút cũng được
すってはいけません	không được hút
いいですか	được không?
はい、いいです	vâng, được
すみません、ちょっと	xin lỗi, hơi...
だめです	không được
